"","id","taxon","kingdom","phylum","trait","broad_trait_group","specific_trait_group","trait_unit_SI","temperature","trait_value","citation"
"29558",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",30,3.40278e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29559",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",30,2.956e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29560",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",32,2.30141e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29561",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",32,2.09369e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29562",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",32,1.97772e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29563",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",32,1.38971e-06,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29564",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",35,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29565",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",35,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29566",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",35,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
"29567",43041,"Trichodesmium erythraeum strain KO4_20","Bacteria","Cyanobacteria","growth rate","emergent_process","population_growth_rate","s^-1",35,0,"Boyd, P. W., Rynearson, T. A., Armstrong E.A., Fu F., Hayashi, K., Hu, Z., Hutchins, D. A., Kudela, R. M., Litchman, E., Mulholland, M.R., Passow, U., Strzepek, R. F., Whittaker, K. A., Yu, E. & Thomas, M. K. (2013). Marine phytoplankton temperature versus growth responses from polar to tropical Waters – Outcome of a scientific community-wide study. PLoS ONE, 8, e63091."
